mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.216527,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,-3.40585e+07,5.79343e+06,0,9.56446e+08,9.96298e+08,7.97038e+08,1.9926e+08,-621.147,0,nan,0,0,-3.40585e+07,-621.147,50,54831.7,1.0000,1.0000,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.274765,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40579e+07,5.79319e+06,0,9.56426e+08,9.96277e+08,7.97021e+08,1.99255e+08,-621.135,0,nan,0,0,-3.40579e+07,-621.135,50,54831.7,1.0000,0.9994,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.348666,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40583e+07,5.79334e+06,0,9.56439e+08,9.9629e+08,7.97032e+08,1.99258e+08,-621.142,0,nan,0,0,-3.40583e+07,-621.142,50,54831.7,1.0000,0.9998,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.442443,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,-3.4058e+07,5.79323e+06,0,9.56429e+08,9.9628e+08,7.97024e+08,1.99256e+08,-621.137,0,nan,0,0,-3.4058e+07,-621.137,50,54831.7,1.0000,1.0000,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.561443,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,-3.40565e+07,5.79291e+06,0,9.56386e+08,9.96235e+08,7.96988e+08,1.99247e+08,-621.11,0,nan,0,0,-3.40565e+07,-621.11,50,54831.7,1.0000,0.9998,0.9999,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.71245,0.0689655,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40581e+07,5.79348e+06,0,9.56438e+08,9.96289e+08,7.97031e+08,1.99258e+08,-621.139,0,nan,0,0,-3.40581e+07,-621.139,50,54831.7,1.0000,0.9999,0.9997,0.9995,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.904071,0.0689655,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40558e+07,5.79283e+06,0,9.56367e+08,9.96216e+08,7.96973e+08,1.99243e+08,-621.097,0,nan,0,0,-3.40558e+07,-621.097,50,54831.7,1.0000,0.9993,1.0000,0.9997,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.14723,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,-3.40578e+07,5.79336e+06,0,9.56428e+08,9.96279e+08,7.97023e+08,1.99256e+08,-621.134,0,nan,0,0,-3.40578e+07,-621.134,50,54831.7,1.0000,0.9999,1.0000,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.45579,0.0689655,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40537e+07,5.7925e+06,0,9.56308e+08,9.96154e+08,7.96924e+08,1.99231e+08,-621.059,0,nan,0,0,-3.40537e+07,-621.059,50,54831.7,1.0000,0.9999,0.9997,0.9998,0.9993,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.84734,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40538e+07,5.79254e+06,0,9.56312e+08,9.96158e+08,7.96927e+08,1.99232e+08,-621.061,0,nan,0,0,-3.40538e+07,-621.061,50,54831.7,1.0000,0.9996,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3442,0.0689655,race_to_bottom,-0.9965,0.9999,0.0034,0.000,-3.40236e+07,5.78435e+06,6392.2,9.55545e+08,9.9536e+08,7.96288e+08,1.99072e+08,-620.511,-237103,-1238.1,0.170833,187.341,-3.37865e+07,-618.249,49.8292,54644.3,1.0000,0.9994,0.9999,1.0000,0.9999,1.0000,0.0000,0.0203,0.0000,0.0000,0.0000,0.0000
2.9747,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40466e+07,5.79018e+06,0,9.56082e+08,9.95918e+08,7.96735e+08,1.99184e+08,-620.929,0,nan,0,0,-3.40466e+07,-620.929,50,54831.7,1.0000,0.9998,1.0000,1.0000,0.9999,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.77478,0.0689655,race_to_bottom,-0.9950,0.9999,0.0049,0.000,-3.40034e+07,5.77696e+06,7348.14,9.54905e+08,9.94693e+08,7.95755e+08,1.98939e+08,-620.142,-510263,-1727.8,0.241667,265.02,-3.34932e+07,-613.581,49.7583,54566.6,1.0000,0.9996,1.0000,1.0000,1.0000,0.9999,0.0000,0.0295,0.0000,0.0000,0.0000,0.0000
