mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
9.7878,0.137931,race_to_bottom,-0.9956,0.9998,0.0042,0.000,2.01585e+08,5.61952e+06,7015.47,1.1757e+09,9.79745e+08,7.83796e+08,1.95949e+08,3676.43,264805,1594.51,0.2125,233.035,2.0132e+08,3687.51,49.7875,54598.6,1.0000,0.9998,1.0000,0.9999,1.0000,0.9994,0.0255,0.0000,0.0000,0.0000,0.0000,0.0000
12.4203,0.137931,race_to_bottom,-0.9941,0.9999,0.0058,0.000,1.9596e+08,5.39496e+06,7996.78,1.14332e+09,9.52762e+08,7.6221e+08,1.90552e+08,3573.84,34911.4,839.537,0.2875,315.282,1.95925e+08,3594.15,49.7125,54516.4,1.0000,0.9999,1.0000,0.9998,0.9997,1.0000,0.0347,0.0000,0.0000,0.0000,0.0000,0.0000
15.7609,0.137931,race_to_bottom,-0.9276,0.9361,0.0085,0.000,2.41008e+08,4.74836e+06,6355.77,1.04532e+09,8.09065e+08,6.47252e+08,1.61813e+08,4395.42,5.92414e+06,14483.9,0.425,466.069,2.35084e+08,4327.15,49.575,54365.6,0.8922,0.9119,0.9299,0.9998,0.9339,0.9488,0.0258,0.0252,0.0000,0.0000,0.0000,0.0000
20,0.137931,race_to_bottom,-0.6056,0.6913,0.0857,0.000,4.39809e+08,4.20494e+06,13746,9.91845e+08,5.56255e+08,4.45004e+08,1.11251e+08,8021.07,6.29994e+07,11612.9,4.3125,4729.23,3.76809e+08,7633.74,45.6875,50102.4,0.7166,0.4957,0.7915,0.8195,0.8271,0.4977,0.0230,0.3400,0.0436,0.0000,0.0000,0.1077
0.02,0.172414,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.04979e+08,5.78953e+06,0,1.19514e+09,9.95946e+08,7.96757e+08,1.99189e+08,3738.33,0,nan,0,0,2.04979e+08,3738.33,50,54831.7,1.0000,0.9999,0.9998,1.0000,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0253792,0.172414,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05001e+08,5.79067e+06,0,1.19526e+09,9.9605e+08,7.9684e+08,1.9921e+08,3738.73,0,nan,0,0,2.05001e+08,3738.73,50,54831.7,1.0000,0.9997,1.0000,0.9996,0.9998,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0322052,0.172414,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05024e+08,5.79193e+06,0,1.1954e+09,9.96163e+08,7.9693e+08,1.99233e+08,3739.16,0,nan,0,0,2.05024e+08,3739.16,50,54831.7,1.0000,1.0000,0.9999,0.9998,1.0000,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0408672,0.172414,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05024e+08,5.79192e+06,0,1.1954e+09,9.96163e+08,7.9693e+08,1.99233e+08,3739.16,0,nan,0,0,2.05024e+08,3739.16,50,54831.7,1.0000,0.9996,0.9997,0.9998,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0518589,0.172414,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05043e+08,5.79256e+06,0,1.19546e+09,9.96214e+08,7.96971e+08,1.99243e+08,3739.5,0,nan,0,0,2.05043e+08,3739.5,50,54831.7,1.0000,0.9998,0.9998,0.9996,0.9994,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0658069,0.172414,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97002e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,0.9998,0.9999,1.0000,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0835064,0.172414,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05045e+08,5.793e+06,0,1.19551e+09,9.96259e+08,7.97007e+08,1.99252e+08,3739.53,0,nan,0,0,2.05045e+08,3739.53,50,54831.7,1.0000,0.9998,1.0000,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.105966,0.172414,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05049e+08,5.79312e+06,0,1.19552e+09,9.96269e+08,7.97015e+08,1.99254e+08,3739.6,0,nan,0,0,2.05049e+08,3739.6,50,54831.7,1.0000,1.0000,1.0000,0.9996,0.9998,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.134467,0.172414,race_to_bottom,-0.9997,0.9997,0.0000,0.000,2.05047e+08,5.7931e+06,0,1.19552e+09,9.96269e+08,7.97016e+08,1.99254e+08,3739.57,0,nan,0,0,2.05047e+08,3739.57,50,54831.7,1.0000,0.9998,0.9996,0.9997,0.9993,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.170634,0.172414,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05047e+08,5.79308e+06,0,1.19552e+09,9.96267e+08,7.97014e+08,1.99253e+08,3739.56,0,nan,0,0,2.05047e+08,3739.56,50,54831.7,1.0000,0.9995,1.0000,0.9997,0.9999,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.216527,0.172414,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05057e+08,5.79377e+06,0,1.19558e+09,9.96315e+08,7.97052e+08,1.99263e+08,3739.75,0,nan,0,0,2.05057e+08,3739.75,50,54831.7,1.0000,1.0000,0.9997,1.0000,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.274765,0.172414,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.0504e+08,5.79319e+06,0,1.19548e+09,9.96234e+08,7.96988e+08,1.99247e+08,3739.45,0,nan,0,0,2.0504e+08,3739.45,50,54831.7,1.0000,1.0000,1.0000,0.9998,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.348666,0.172414,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05053e+08,5.79341e+06,0,1.19556e+09,9.96296e+08,7.97037e+08,1.99259e+08,3739.68,0,nan,0,0,2.05053e+08,3739.68,50,54831.7,1.0000,1.0000,0.9999,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.442443,0.172414,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05053e+08,5.79386e+06,0,1.19556e+09,9.96296e+08,7.97037e+08,1.99259e+08,3739.68,0,nan,0,0,2.05053e+08,3739.68,50,54831.7,1.0000,1.0000,0.9998,1.0000,0.9998,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.561443,0.172414,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05064e+08,5.79413e+06,0,1.19562e+09,9.96349e+08,7.97079e+08,1.9927e+08,3739.88,0,nan,0,0,2.05064e+08,3739.88,50,54831.7,1.0000,1.0000,0.9998,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
