mu,tau,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
3.77478,0.0344828,race_to_bottom,-0.9675,0.9944,0.0270,0.000,2.07955e+08,5.73525e+06,36808.1,1.1888e+09,9.86613e+08,7.8929e+08,1.97323e+08,3792.6,5.62584e+06,3091.67,1.35417,1485.02,2.02329e+08,3795.42,48.6458,53346.6,1.0000,0.9998,0.9673,0.9997,1.0000,0.9997,0.0000,0.0256,0.0762,0.0400,0.0200,0.0000
4.79005,0.0344828,race_to_bottom,-0.9505,0.9898,0.0393,0.000,2.10541e+08,5.70136e+06,49666.2,1.18496e+09,9.80173e+08,7.84138e+08,1.96035e+08,3839.77,9.26853e+06,3657.6,1.96667,2156.71,2.01273e+08,3826.27,48.0333,52674.9,1.0000,0.9991,0.9600,0.9799,0.9999,0.9997,0.0000,0.0264,0.0860,0.1033,0.0200,0.0000
6.07839,0.0344828,race_to_bottom,-0.9530,0.9938,0.0408,0.000,2.07684e+08,5.67047e+06,54971.9,1.18148e+09,9.79525e+08,7.8362e+08,1.95905e+08,3787.67,7.01178e+06,3509.25,2.0375,2234.39,2.00672e+08,3817.75,47.9625,52597.3,1.0000,0.9896,0.9851,0.9925,0.9959,0.9998,0.0000,0.0527,0.0457,0.0945,0.0200,0.0320
7.71324,0.0344828,race_to_bottom,-0.9467,0.9918,0.0451,0.000,2.07453e+08,5.61042e+06,59942.8,1.1748e+09,9.73022e+08,7.78417e+08,1.94604e+08,3783.46,8.14971e+06,3304.85,2.24583,2462.86,1.99303e+08,3810.58,47.7542,52368.8,1.0000,0.9948,0.9608,1.0000,0.9955,0.9998,0.0400,0.0362,0.1085,0.0660,0.0200,0.0000
9.7878,0.0344828,race_to_bottom,-0.9459,0.9974,0.0515,0.000,2.02272e+08,5.54543e+06,71142.6,1.16726e+09,9.70606e+08,7.76485e+08,1.94121e+08,3688.97,3.83826e+06,1819.67,2.55417,2800.98,1.98434e+08,3816.68,47.4458,52030.7,1.0000,0.9999,0.9899,1.0000,0.9945,1.0000,0.0609,0.0275,0.0414,0.0762,0.0755,0.0274
12.4203,0.0344828,race_to_bottom,-0.9578,0.9887,0.0309,0.000,2.01953e+08,5.31776e+06,38561.3,1.1356e+09,9.39003e+08,7.51202e+08,1.87801e+08,3683.14,7.57914e+06,4796.39,1.54167,1690.64,1.94374e+08,3661.1,48.4583,53141,1.0000,0.9998,0.9789,0.9549,0.9999,0.9986,0.0000,0.0322,0.0200,0.0876,0.0456,0.0000
15.7609,0.0344828,race_to_bottom,-0.8077,0.8509,0.0432,0.000,2.87425e+08,4.58251e+06,18264.9,1.03002e+09,7.47199e+08,5.97759e+08,1.4944e+08,5241.96,2.76842e+07,11609.1,2.1625,2371.47,2.59741e+08,4960.47,47.8375,52460.2,0.8915,0.9531,0.9075,0.7612,0.7626,0.8293,0.0400,0.0000,0.0437,0.0874,0.0879,0.0000
20,0.0344828,transitional,-0.2165,0.5226,0.3062,0.000,5.17318e+08,4.40332e+06,55668.5,1.03433e+09,5.21472e+08,4.17177e+08,1.04294e+08,9434.66,2.03452e+08,11184,15.325,16805.9,3.13866e+08,8720.14,34.675,38025.8,0.5896,0.7420,0.3274,0.2952,0.5702,0.6115,0.3223,0.1916,0.5398,0.6256,0.1178,0.0399
0.02,0.0689655,race_to_bottom,-0.3376,0.6709,0.3333,0.333,4.81034e+08,5.31139e+06,8702.46,1.14212e+09,6.66402e+08,5.33122e+08,1.3328e+08,8772.92,3.41438e+08,13099.9,16.6667,18277.2,1.39596e+08,5640.52,33.3333,36554.4,0.0196,0.9996,0.9886,0.0200,0.9978,0.9998,0.9800,0.0000,0.0200,0.9800,0.0200,0.0000
0.0253792,0.0689655,race_to_bottom,-0.6571,0.8371,0.1800,0.167,3.41106e+08,5.5233e+06,33900.1,1.16556e+09,8.30015e+08,6.64012e+08,1.66003e+08,6220.96,1.71328e+08,6508.06,9,9869.7,1.69777e+08,4735.97,41,44962,1.0000,0.9989,0.0242,0.9999,0.9999,0.9998,0.0400,0.0000,0.9800,0.0400,0.0200,0.0000
