mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.170634,0.758621,green_club,0.9926,0.0041,0.9967,1.000,9.38247e+08,4.39959e+06,1332.19,9.37421e+08,3.57572e+06,2.86057e+06,715143,17111.4,9.37317e+08,17151.2,49.8333,54648.9,929539,5085.78,0.166667,182.772,0.0000,0.0003,0.0004,0.0233,0.0006,0.0000,1.0000,1.0000,1.0000,0.9800,1.0000,1.0000
0.216527,0.758621,race_to_bottom,-0.3135,0.6668,0.3533,0.333,3.70321e+08,5.28688e+06,39654.9,1.02556e+09,6.60567e+08,5.28453e+08,1.32113e+08,6753.78,3.14397e+08,7283.93,17.6667,19373.9,5.59241e+07,1577.5,32.3333,35457.8,1.0000,0.9997,0.0005,0.9998,0.0010,1.0000,0.0600,0.0200,1.0000,0.0400,1.0000,0.0000
0.274765,0.758621,race_to_bottom,-0.0092,0.5126,0.5033,0.500,5.02703e+08,5.06554e+06,30502.6,1.00345e+09,5.05838e+08,4.04671e+08,1.01168e+08,9168.12,4.57225e+08,10471.5,25.1667,27598.6,4.54783e+07,3452.04,24.8333,27233.1,1.0000,1.0000,0.0003,0.0187,0.0565,1.0000,0.0600,0.0200,1.0000,0.9800,0.9600,0.0000
0.348666,0.758621,race_to_bottom,-0.3161,0.6665,0.3504,0.333,3.69808e+08,5.28726e+06,33846.3,1.02556e+09,6.61074e+08,5.28859e+08,1.32215e+08,6744.43,3.11806e+08,8466.9,17.5167,19209.4,5.80018e+07,2779,32.4833,35622.3,0.0245,1.0000,0.0125,0.9996,0.9624,1.0000,0.9824,0.0200,1.0000,0.0400,0.0600,0.0000
0.442443,0.758621,race_to_bottom,-0.0141,0.5197,0.5056,0.500,4.93628e+08,5.04129e+06,48627.1,1.00086e+09,5.12319e+08,4.09855e+08,1.02464e+08,9002.6,4.46689e+08,8721.27,25.2875,27731.1,4.69382e+07,4406.39,24.7125,27100.5,1.0000,0.9999,0.0322,0.9999,0.0584,0.0279,0.0600,0.0200,0.9780,0.0400,0.9600,0.9756
0.561443,0.758621,green_club,0.3280,0.3420,0.6700,0.667,6.44385e+08,4.80035e+06,23917.8,9.76553e+08,3.36992e+08,2.69593e+08,6.73984e+07,11752.1,6.13802e+08,11530.6,33.5,36737.2,3.05836e+07,3445.5,16.5,18094.4,0.0000,1.0000,0.0000,1.0000,0.0520,0.0000,1.0000,0.0200,1.0000,0.0400,0.9600,1.0000
0.71245,0.758621,race_to_bottom,-0.6316,0.8348,0.2031,0.167,2.24777e+08,5.47604e+06,72152.7,1.04387e+09,8.24638e+08,6.5971e+08,1.64928e+08,4099.4,1.5331e+08,4195.78,10.1583,11140,7.14665e+07,2618.82,39.8417,43691.7,1.0000,1.0000,0.9869,0.9979,0.9882,0.0355,0.0600,0.0200,0.0613,0.0400,0.0600,0.9776
0.904071,0.758621,race_to_bottom,-0.6479,0.8394,0.1915,0.167,2.22588e+08,5.49591e+06,56875.1,1.04599e+09,8.28952e+08,6.63161e+08,1.6579e+08,4059.48,1.49707e+08,4625.11,9.57083,10495.7,7.2881e+07,2429.82,40.4292,44336,1.0000,0.9802,0.9999,0.9998,0.0569,0.9996,0.0600,0.0488,0.0400,0.0400,0.9600,0.0000
1.14723,0.758621,race_to_bottom,-0.6325,0.8399,0.2074,0.167,2.21691e+08,5.46669e+06,86781.2,1.04287e+09,8.26733e+08,6.61387e+08,1.65347e+08,4043.12,1.49285e+08,3301.72,10.3625,11363.9,7.2406e+07,2461.02,39.6375,43467.8,0.9863,1.0000,0.9998,0.9999,0.0533,1.0000,0.0810,0.0431,0.0623,0.0651,0.9600,0.0329
1.45579,0.758621,race_to_bottom,-0.3327,0.6844,0.3517,0.333,3.52356e+08,5.25018e+06,65085.1,1.02122e+09,6.74175e+08,5.3934e+08,1.34835e+08,6426.14,2.90087e+08,7215.83,17.5917,19291.6,6.22684e+07,3456.57,32.4083,35540.1,0.0777,0.9999,0.9885,0.9996,0.0415,0.9994,0.9466,0.0772,0.0647,0.0617,0.9600,0.0000
