delta_c,t_ratio,g,leakage_mean,leakage_std,import_pen_mean,import_pen_std,price_cv_mean,price_cv_std,price_iqr_mean,price_iqr_std,n_active_mean,n_valid,leakage_ok,import_ok,price_cv_ok,all_pass
1.5,1.5,2.4,6.596473709811983,4.154277873383765,5.537686383188098,2.6846163151799254,10.146464353971849,0.5771719952488691,13.553863069598174,2.3323026426459212,7.651999999999999,5,1,0,1,0
1.5,1.5,2.5,5.45283075303438,3.429845238603741,4.514071051045311,2.4213882821156223,10.193329416419115,0.6144669255923451,13.531510385306253,2.3332921121924866,7.651999999999999,5,1,0,1,0
1.5,2.0,0.3,27.640106334331527,10.53895175265831,62.179511291220365,3.898363857686267,13.660171309965515,1.2696353377009468,18.585649726715012,2.487186768174276,7.651999999999999,5,0,0,1,0
1.5,2.0,0.5,25.04914638819856,10.14290878830366,57.37338117695695,4.3181901325828145,13.145212562259164,1.1799057122318295,18.646010346301175,2.4441452891804802,7.651999999999999,5,0,0,1,0
1.5,2.0,0.7,22.726781086912588,9.344964048095493,52.04525797055506,4.386065136509458,12.722880332731195,1.0819136854334825,19.125744990292418,2.6687899935685873,7.651999999999999,5,0,0,1,0
1.5,2.0,1.0,18.63721663553536,8.180478490575311,43.57624854535363,4.375075487169574,12.23756919199198,0.933612110682346,19.406102815152966,2.002246462421309,7.651999999999999,5,1,0,1,0
1.5,2.0,1.3,14.9789318635025,7.287777518411916,33.898738879955474,4.522408460430702,11.892364434370716,0.7814529426583127,19.50589393743551,1.4633343364906177,7.651999999999999,5,1,0,1,0
1.5,2.0,1.5,13.712341005660056,6.997060747932234,27.195013080312826,4.43151790318633,11.732843838224264,0.7003904221493272,19.45737115981245,1.3505503338790803,7.651999999999999,5,1,0,1,0
1.5,2.0,2.0,9.339039386649777,5.020285259666543,12.265010399116601,3.7785365833370874,11.570309634647227,0.5879935044960757,19.07241448331328,1.5564555438923926,7.651999999999999,5,1,0,1,0
1.5,2.0,2.2,7.178469628639357,4.290796589746934,8.191459282867706,3.385609514300627,11.589457891411381,0.5701376905876275,18.13828613395293,2.1547152747456435,7.651999999999999,5,1,1,1,1
1.5,2.0,2.3,6.131144007194562,3.8082982867423234,6.7422484508719105,2.9985766831431193,11.622626458358,0.5517081072563284,17.790620962310385,2.361047151546004,7.651999999999999,5,1,0,1,0
1.5,2.0,2.4,5.130512629059186,3.272508793550912,5.537686383188098,2.6846163151799254,11.663771384354105,0.5417487448213969,17.65311778800207,2.4532280744527726,7.651999999999999,5,1,0,1,0
1.5,2.0,2.5,4.223663516351246,2.6934701630166913,4.514071051045311,2.4213882821156223,11.7112502951226,0.5530969228583664,17.636270309553993,2.4570961726404064,7.651999999999999,5,0,0,1,0
1.5,2.5,0.3,26.6612722292599,10.484887194256038,62.179511291220365,3.898363857686267,14.70694476818789,1.5869743593583898,18.585649726715012,2.487186768174276,7.651999999999999,5,0,0,1,0
1.5,2.5,0.5,24.10351139493133,10.147776401714117,57.37338117695695,4.3181901325828145,14.240448829757536,1.4802153995247922,18.646010346301175,2.4441452891804802,7.651999999999999,5,0,0,1,0
1.5,2.5,0.7,21.7646538604917,9.36042845566095,52.04525797055506,4.386065136509458,13.835074362534446,1.3623685272594417,19.125744990292418,2.6687899935685873,7.651999999999999,5,0,0,1,0
1.5,2.5,1.0,17.595373126398677,8.064732284896223,43.57624854535363,4.375075487169574,13.340559817707836,1.1994614911173156,19.786682793902287,2.273243930186516,7.651999999999999,5,1,0,1,0
1.5,2.5,1.3,13.811809917304481,6.939666035519229,33.898738879955474,4.522408460430702,13.031995438566776,1.0296625919189233,20.605784174883393,1.8867741884498708,7.651999999999999,5,1,0,1,0
1.5,2.5,1.5,12.348271849698998,6.455304246505831,27.195013080312826,4.43151790318633,12.908997182471404,0.9335881982054806,20.85291018825227,1.6757273033046765,7.651999999999999,5,1,0,1,0
1.5,2.5,2.0,7.941965733548753,4.296091545827183,12.265010399116601,3.7785365833370874,12.886956439274226,0.7388966888105529,21.902367595974773,1.6005953646683102,7.651999999999999,5,1,0,1,0
1.5,2.5,2.2,6.046322871185423,3.6200507363037455,8.191459282867706,3.385609514300627,12.98533799313204,0.6688575469900006,22.325086433270677,1.799401425563696,7.651999999999999,5,1,1,1,1
1.5,2.5,2.3,5.148674236154469,3.1915980391066125,6.7422484508719105,2.9985766831431193,13.055232536848,0.6411277821923768,22.59017136062349,1.95259714948737,7.651999999999999,5,1,0,1,0
1.5,2.5,2.4,4.290633251876758,2.7214991623914844,5.537686383188098,2.6846163151799254,13.11845743724711,0.6299047721405474,22.62758254695423,2.1950587039938902,7.651999999999999,5,0,0,1,0
