mu,tau_BA,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.0408672,0.103448,race_to_bottom,-0.6506,0.8372,0.1867,0.167,3.41487e+08,5.51246e+06,44943.1,1.16431e+09,8.28383e+08,6.62706e+08,1.65677e+08,6227.92,1.72674e+08,6999.19,9.33333,10235.2,1.68813e+08,4626.74,40.6667,44596.4,1.0000,0.9996,0.0340,1.0000,0.9899,1.0000,0.0400,0.0000,0.9800,0.0400,0.0600,0.0000
0.0518589,0.103448,race_to_bottom,-0.6555,0.8321,0.1767,0.167,3.45879e+08,5.53516e+06,19981.4,1.16691e+09,8.26591e+08,6.61273e+08,1.65318e+08,6308.01,1.73977e+08,8947.96,8.83333,9686.93,1.71902e+08,5627.09,41.1667,45144.7,0.0104,1.0000,0.9868,0.9958,1.0000,0.9999,0.9800,0.0000,0.0200,0.0400,0.0200,0.0000
0.0658069,0.103448,race_to_bottom,-0.9754,0.9954,0.0200,0.000,2.07842e+08,5.75342e+06,30239.6,1.19102e+09,9.88965e+08,7.91172e+08,1.97793e+08,3790.54,5.46663e+06,6232.24,1,1096.63,2.02375e+08,3766.3,49,53735,1.0000,0.9998,0.9813,1.0000,0.9914,0.9999,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0835064,0.103448,race_to_bottom,-0.9764,0.9964,0.0200,0.000,2.07523e+08,5.75461e+06,31009,1.19114e+09,9.89407e+08,7.91525e+08,1.97881e+08,3784.73,5.18543e+06,5800.58,1,1096.63,2.02338e+08,3765.62,49,53735,1.0000,0.9996,0.9831,0.9994,0.9961,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.105966,0.103448,race_to_bottom,-0.9783,0.9983,0.0200,0.000,2.05771e+08,5.75465e+06,34915.7,1.19111e+09,9.91134e+08,7.92907e+08,1.98227e+08,3752.78,3.73044e+06,3857.5,1,1096.63,2.0204e+08,3760.08,49,53735,1.0000,0.9998,0.9902,1.0000,1.0000,0.9996,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.134467,0.103448,race_to_bottom,-0.9758,0.9958,0.0200,0.000,2.07732e+08,5.75445e+06,30530.9,1.19113e+09,9.89184e+08,7.91347e+08,1.97837e+08,3788.55,5.3603e+06,6086.9,1,1096.63,2.02372e+08,3766.25,49,53735,1.0000,0.9999,0.9832,0.9999,0.9921,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.170634,0.103448,race_to_bottom,-0.9834,0.9967,0.0133,0.000,2.07119e+08,5.76751e+06,19391.2,1.19259e+09,9.91258e+08,7.93006e+08,1.98252e+08,3777.37,3.75161e+06,5992.87,0.666667,731.089,2.03368e+08,3759.24,49.3333,54100.6,1.0000,0.9999,0.9892,0.9999,0.9912,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
0.216527,0.103448,race_to_bottom,-0.9752,0.9952,0.0200,0.000,2.07929e+08,5.75351e+06,30035.7,1.191e+09,9.88854e+08,7.91083e+08,1.97771e+08,3792.13,5.54113e+06,6333.93,1,1096.63,2.02388e+08,3766.53,49,53735,1.0000,1.0000,0.9808,0.9998,0.9903,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.274765,0.103448,race_to_bottom,-0.9759,0.9959,0.0200,0.000,2.07448e+08,5.75397e+06,31140.9,1.19104e+09,9.89378e+08,7.91502e+08,1.97876e+08,3783.36,5.13843e+06,5783.08,1,1096.63,2.02309e+08,3765.07,49,53735,1.0000,0.9999,0.9798,1.0000,0.9958,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.348666,0.103448,race_to_bottom,-0.9659,0.9972,0.0313,0.000,2.06164e+08,5.73343e+06,53406.1,1.18872e+09,9.88347e+08,7.90677e+08,1.97669e+08,3759.94,5.58579e+06,4694.83,1.55833,1708.92,2.00578e+08,3777.18,48.4417,53122.7,1.0000,0.9991,0.9861,0.9997,0.9982,1.0000,0.1076,0.0000,0.0200,0.0400,0.0200,0.0000
0.442443,0.103448,race_to_bottom,-0.9741,0.9962,0.0221,0.000,2.07245e+08,5.75433e+06,32447,1.19103e+09,9.89568e+08,7.91655e+08,1.97914e+08,3779.66,4.51237e+06,3703.49,1.11667,1224.57,2.02733e+08,3782.77,48.8833,53607.1,1.0000,1.0000,0.9812,0.9997,0.9965,1.0000,0.0261,0.0000,0.0468,0.0400,0.0200,0.0000
0.561443,0.103448,race_to_bottom,-0.9783,0.9983,0.0200,0.000,2.05928e+08,5.75482e+06,34557.6,1.19112e+09,9.90977e+08,7.92782e+08,1.98195e+08,3755.64,3.85965e+06,4034.15,1,1096.63,2.02068e+08,3760.59,49,53735,1.0000,0.9997,0.9911,0.9999,0.9992,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.71245,0.103448,race_to_bottom,-0.9606,0.9963,0.0357,0.000,2.0698e+08,5.72625e+06,58283.6,1.18786e+09,9.86661e+08,7.89328e+08,1.97332e+08,3774.83,6.56568e+06,4123.43,1.79167,1964.8,2.00415e+08,3792.27,48.2083,52866.9,1.0000,0.9999,0.9858,0.9998,0.9925,1.0000,0.0400,0.0247,0.0200,0.0400,0.0896,0.0000
0.904071,0.103448,race_to_bottom,-0.9781,0.9970,0.0189,0.000,2.0693e+08,5.75901e+06,26840.8,1.19151e+09,9.90367e+08,7.92294e+08,1.98073e+08,3773.91,3.74892e+06,4716.75,0.945833,1037.23,2.03181e+08,3777.77,49.0542,53794.4,1.0000,0.9999,0.9823,0.9999,1.0000,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0336
1.14723,0.103448,race_to_bottom,-0.9584,0.9912,0.0327,0.000,2.10968e+08,5.73621e+06,37294.2,1.18887e+09,9.83677e+08,7.86941e+08,1.96735e+08,3847.56,8.11474e+06,5840.66,1.6375,1795.74,2.02853e+08,3831.81,48.3625,53035.9,1.0000,0.9999,0.9866,0.9681,0.9923,1.0000,0.0000,0.0242,0.0200,0.1322,0.0200,0.0000
1.45579,0.103448,race_to_bottom,-0.9816,0.9950,0.0133,0.000,2.08557e+08,5.766e+06,16080.8,1.19227e+09,9.89498e+08,7.91598e+08,1.979e+08,3803.58,4.99873e+06,8266.62,0.666667,731.089,2.03558e+08,3762.78,49.3333,54100.6,1.0000,0.9999,0.9836,0.9998,0.9867,0.9999,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
1.84734,0.103448,race_to_bottom,-0.9713,0.9974,0.0261,0.000,2.06102e+08,5.74294e+06,41070.6,1.18957e+09,9.89254e+08,7.91404e+08,1.97851e+08,3758.82,4.07758e+06,4078.02,1.3125,1439.33,2.02025e+08,3784.84,48.6875,53392.3,1.0000,1.0000,0.9855,0.9995,1.0000,0.9995,0.0000,0.0261,0.0200,0.0661,0.0446,0.0000
