phi,delta_loc,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,s_seed0,s_seed1,s_seed2,s_seed3
2155.17,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.47597e+09,5.76234e+06,21522.7,1.71262e+09,2.42437e+08,1.93949e+08,4.84873e+07,26918.1,1.83775e+07,22360.3,0.75,822.475,1.45759e+09,26987.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
2241.38,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.54447e+09,5.76234e+06,21522.7,1.78112e+09,2.42437e+08,1.93949e+08,4.84873e+07,28167.5,1.92087e+07,23355.3,0.75,822.475,1.52526e+09,28240.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
2327.59,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.61297e+09,5.76234e+06,21522.7,1.84963e+09,2.42437e+08,1.93949e+08,4.84873e+07,29416.9,2.00398e+07,24350.3,0.75,822.475,1.59293e+09,29493.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
2413.79,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.68148e+09,5.76234e+06,21522.7,1.91813e+09,2.42437e+08,1.93949e+08,4.84873e+07,30666.2,2.0871e+07,25345.3,0.75,822.475,1.66061e+09,30746.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
2500,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.74998e+09,5.76234e+06,21522.7,1.98664e+09,2.42437e+08,1.93949e+08,4.84873e+07,31915.6,2.17022e+07,26340.3,0.75,822.475,1.72828e+09,31999.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
0,289.655,green_club,0.9597,0.0203,0.9800,1.000,-351951,4.35119e+06,6388.71,0,4.70953e+06,3.76762e+06,941905,-6.41876,2.71932e+06,50.6061,49,53735,-3.07127e+06,-2800.64,1,1096.63,0.0304,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
86.2069,289.655,green_club,0.9617,0.0183,0.9800,1.000,5.93588e+07,4.34865e+06,4848.76,5.94785e+07,4.47316e+06,3.57853e+06,894633,1082.57,6.11239e+07,1137.5,49,53735,-1.76502e+06,-1609.49,1,1096.63,0.0221,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
172.414,289.655,green_club,0.9617,0.0183,0.9800,1.000,1.18837e+08,4.34865e+06,4848.76,1.18957e+08,4.47316e+06,3.57853e+06,894633,2167.31,1.19337e+08,2220.85,49,53735,-499991,-455.933,1,1096.63,0.0221,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
258.621,289.655,green_club,0.9617,0.0183,0.9800,1.000,1.78316e+08,4.34865e+06,4848.76,1.78436e+08,4.47316e+06,3.57853e+06,894633,3252.06,1.77551e+08,3304.19,49,53735,765035,697.621,1,1096.63,0.0221,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
344.828,289.655,green_club,0.9606,0.0194,0.9800,1.000,2.37747e+08,4.34486e+06,7255.61,2.37803e+08,4.4083e+06,3.52664e+06,881660,4335.94,2.35453e+08,4381.75,49,53735,2.29367e+06,2091.56,1,1096.63,0.0182,0.0172,0.0207,0.0215,0.9800,0.9800,0.9800,0.9800
431.034,289.655,race_to_bottom,-0.0009,0.5070,0.5061,0.500,1.7993e+08,5.04896e+06,24475,3.19765e+08,1.44909e+08,1.15927e+08,2.89818e+07,3281.5,1.48541e+08,3456.68,25.3062,27751.7,3.13888e+07,1917.51,24.6938,27080,0.9839,0.9997,0.0238,0.0206,0.0400,0.0244,0.9800,0.9800
517.241,289.655,race_to_bottom,-0.9758,0.9967,0.0209,0.000,1.29696e+08,5.75145e+06,33140.7,4.10597e+08,2.86686e+08,2.29349e+08,5.73372e+07,2365.35,2.43889e+06,2664.51,1.04375,1144.61,1.27257e+08,2370.58,48.9562,53687,1.0000,1.0000,0.9871,0.9999,0.0000,0.0000,0.0200,0.0637
603.448,289.655,race_to_bottom,-0.9816,0.9966,0.0150,0.000,1.98503e+08,5.76305e+06,21522.7,4.79563e+08,2.86844e+08,2.29475e+08,5.73689e+07,3620.23,2.96213e+06,3973.52,0.75,822.475,1.95541e+08,3620.54,49.25,54009.2,1.0000,1.0000,0.9866,1.0000,0.0000,0.0000,0.0200,0.0400
689.655,289.655,race_to_bottom,-0.9815,0.9965,0.0150,0.000,2.67007e+08,5.76284e+06,21522.7,5.48062e+08,2.86839e+08,2.29471e+08,5.73678e+07,4869.58,3.79333e+06,4968.55,0.75,822.475,2.63214e+08,4873.51,49.25,54009.2,1.0000,0.9999,0.9866,0.9994,0.0000,0.0000,0.0200,0.0400
